,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
0,1,Morar Lane,Stephanie,Turner,48,Head,Married,Female,Chartered legal executive (England and Wales),None,Methodist
1,1,Morar Lane,Nathan,Turner-Owen,52,Husband,Married,Male,Mudlogger,None,Methodist
2,1,Morar Lane,Lee,Turner-Owen,17,Son,NA,Male,Student,None,NA
3,1,Morar Lane,James,Turner-Owen,14,Son,NA,Male,Student,None,NA
4,1,Morar Lane,Charlotte,Turner-Owen,14,Daughter,NA,Female,Student,None,NA
5,2,Morar Lane,Linda,Wilson,45,Head,Divorced,Female,Armed forces logistics/support/administrative officer,None,None
6,2,Morar Lane,Lynn,Wilson,7,Daughter,NA,F,Student,None,NA
7,3,Morar Lane,Leigh,Moore,81,Head,Married,Male,Retired Chartered certified accountant,None,None
8,3,Morar Lane,Ann,Moore,84,Wife,Married,Female,Retired Environmental manager,None,None
9,4,Morar Lane,Dale,Brown,50,Head,Married,Male,Contractor,None,Christian
10,4,Morar Lane,Joyce,Brown,49,Wife,Married,Female,Photographer,None,Christian
11,5,Morar Lane,Grace,Johnson,85,Head,Married,Female,"Retired Teacher, special educational needs",None,Methodist
12,5,Morar Lane,Jay,Johnson,88,Husband,Married,Male,Retired Industrial/product designer,None,Methodist
13,6,Morar Lane,Alison,Fletcher,53,Head,Married,Female,Technical author,None,Christian
14,6,Morar Lane,Bernard,Fletcher,57,Husband,Married,Male,Community arts worker,None,Christian
15,6,Morar Lane,Simon,Roberts-Fletcher,69,Cousin,Divorced,Male,Retired Chiropodist,None,None
16,6,Morar Lane,Anna,Roberts-Fletcher,59,Cousin,Single,Female,Art gallery manager,None,None
17,6,Morar Lane,Bethany,Roberts-Fletcher,66,Cousin,Divorced,Female,Metallurgist,None,None
18,7,Morar Lane,Lindsey,Bird,53,Head,Married,Female,Event organiser,None,None
19,7,Morar Lane,Gerard,Bird,59,Husband,Married,Male,"Engineer, agricultural",None,None
20,7,Morar Lane,Joshua,Bird,14,Son,NA,Male,Student,None,NA
21,8,Morar Lane,Neil,Taylor,67,Head,Divorced,Male,Armed forces training and education officer,None,Catholic
22,9,Morar Lane,Paula,Clark,32,Head,Married,Female,Early years teacher,None,Christian
23,9,Morar Lane,Sam,Clark,32,Husband,Married,Male,"Engineer, biomedical",None,None
24,9,Morar Lane,Lucy,Clark,6,Daughter,NA,Female,Student,None,NA
25,10,Morar Lane,Carole,Hanson,34,Head,Divorced,Female,"Doctor, general practice",None,Christian
26,10,Morar Lane,Marilyn,Hanson,7,Daughter,NA,Female,Student,None,NA
27,10,Morar Lane,Christian,Hanson,5,Son,NA,Male,Student,None,NA
28,10,Morar Lane,Jack,Hanson,2,Son,NA,Male,Child,None,NA
29,10,Morar Lane,Peter,Hanson,2,Son,NA,Male,Child,None,NA
30,11,Morar Lane,Katy,Shepherd,52,Head,Single,Female,Art gallery manager,None,Methodist
31,11,Morar Lane,Anthony,Shepherd,20,Son,Single,Male,University Student,None,Methodist
32,12,Morar Lane,Ashleigh,Carroll,75,Head,Married,Female,Retired Cartographer,None,Christian
33,12,Morar Lane,Gareth,Carroll,81,Husband,Married,Male,Retired Housing manager/officer,None,Christian
34,13,Morar Lane,Howard,Cooper,43,Head,Married,Male,Commercial horticulturist,None,None
35,13,Morar Lane,Lucy,Cooper,44,Wife,Married,Female,Data scientist,None,None
36,14,Morar Lane,Chelsea,Lord,31,Head,Single,Female,Information officer,None,None
37,14,Morar Lane,Graham,Pearce,36,Partner,Single,Male,Estate agent,None,None
38,14,Morar Lane,Debra,Dixon-Lord,15,Daughter,NA,Female,Student,None,NA
39,14,Morar Lane,Lesley,Dixon-Lord,11,Daughter,NA,Female,Student,None,NA
40,15,Morar Lane,Hilary,Holloway,68,Head,Married,Female,Retired Automotive engineer,None,Sikh
41,15,Morar Lane,Brian,Holloway,71,Husband,Married,Male,Retired Prison officer,None,None
42,15,Morar Lane,Trevor,Holloway,30,Son,Divorced,Male,Public affairs consultant,None,Sikh
